id,title,release_date,vote_average,vote_count,popularity,runtime,budget,revenue,original_language,genres,director,actor_principal,grupo
166424,Fantastic Four,2015-08-05,4.436,6432,4.8336,100,120000000,167977596,en,"Action, Adventure, Science Fiction",Josh Trank,Miles Teller,mala
415,Batman & Robin,1997-06-20,4.394,5440,8.9664,125,125000000,238207122,en,"Action, Science Fiction, Adventure",Joel Schumacher,George Clooney,mala
10196,The Last Airbender,2010-06-30,4.648,4277,9.9601,103,150000000,319713881,en,"Action, Adventure, Fantasy",M. Night Shyamalan,Noah Ringer,mala
351460,Death Note,2017-08-25,4.274,4131,4.755,101,40000000,0,en,"Crime, Fantasy, Horror",Adam Wingard,Nat Wolff,mala
314,Catwoman,2004-07-22,4.617,3602,4.6546,104,100000000,82102379,en,"Action, Fantasy, Crime",Pitof,Halle Berry,mala
4258,Scary Movie 5,2013-04-11,4.796,3076,23.572,88,20000000,78613981,en,Comedy,Malcolm D. Lee,Ashley French,mala
87818,Movie 43,2013-01-24,4.657,2516,6.3337,98,6000000,32443111,en,Comedy,Steve Carr,Dennis Quaid,mala
329833,Zoolander 2,2016-02-06,4.929,2395,4.0507,100,50000000,56722693,en,"Action, Adventure, Comedy",Ben Stiller,Ben Stiller,mala
71880,Jack and Jill,2011-11-11,4.397,2230,4.127,91,79000000,149700000,en,"Comedy, Family",Dennis Dugan,Adam Sandler,mala
14164,Dragonball Evolution,2009-03-12,2.939,2219,3.0,85,30000000,58228460,en,"Action, Adventure, Fantasy, Science Fiction, Thriller",James Wong,Justin Chatwin,mala
439015,Slender Man,2018-05-17,4.3,2167,3.3202,93,10000000,51738549,en,"Horror, Mystery, Thriller",Sylvain White,Julia Goldani Telles,mala
241251,The Boy Next Door,2015-01-23,4.934,2123,5.7606,91,4000000,52425855,en,Thriller,Rob Cohen,Jennifer Lopez,mala
17610,Year One,2009-06-18,4.989,2045,3.6202,97,60000000,62357900,en,"Comedy, Adventure",Harold Ramis,Jack Black,mala
10214,Son of the Mask,2005-02-11,4.202,1974,4.0551,94,84000000,59918422,en,"Fantasy, Comedy, Family, Adventure",Lawrence Guterman,Jamie Kennedy,mala
7278,Meet the Spartans,2008-01-24,4.097,1858,3.921,84,30000000,85897593,en,"Comedy, Fantasy",Jason Friedberg,Travis Van Winkle,mala
1639,Speed 2: Cruise Control,1997-06-13,4.612,1818,3.2229,125,160000000,164508066,en,"Action, Thriller",Jan de Bont,Sandra Bullock,mala
205321,Sharknado,2013-07-11,3.92,1702,5.446,87,1000000,0,en,"Action, Comedy, Horror, Science Fiction, TV Movie",Anthony C. Ferrante,Ian Ziering,mala
9760,Epic Movie,2007-01-25,3.862,1693,4.7026,85,20000000,87238158,en,"Comedy, Adventure, Fantasy",Aaron Seltzer,Kal Penn,mala
447273,Snow White,2025-03-19,4.301,1661,15.2029,109,271600000,205679463,en,"Family, Fantasy",Marc Webb,Rachel Zegler,mala
11667,Street Fighter,1994-12-23,4.674,1644,4.5694,102,35000000,99423521,en,"Action, Comedy, Fantasy",Steven E. de Souza,Jean-Claude Van Damme,mala
980078,Winnie the Pooh: Blood and Honey,2023-01-26,4.947,1578,2.2406,84,100000,7717044,en,Horror,Rhys Frake-Waterfield,Nikolai Leon,mala
20533,Jonah Hex,2010-06-18,4.963,1553,3.57,81,47000000,10539000,en,"Western, Fantasy, Thriller",Jimmy Hayward,Josh Brolin,mala
17473,The Room,2003-06-27,4.0,1536,2.504,100,6000000,1752988,en,"Drama, Romance",Tommy Wiseau,Tommy Wiseau,mala
11470,Jason X,2001-11-09,4.848,1522,4.6747,91,11000000,17077882,en,"Horror, Science Fiction",James Isaac,Kane Hodder,mala
433249,IO,2019-01-18,4.984,1481,1.7953,96,0,0,en,Science Fiction,Jonathan Helpert,Margaret Qualley,mala
9607,Super Mario Bros.,1993-05-28,4.494,1464,5.6939,105,48000000,20929518,en,"Adventure, Fantasy, Comedy, Family",Rocky Morton,Bob Hoskins,mala
5550,RoboCop 3,1993-01-21,4.897,1455,4.3551,105,22000000,10696210,en,"Action, Science Fiction, Thriller",Fred Dekker,Robert John Burke,mala
74997,The Human Centipede 2 (Full Sequence),2011-10-06,4.767,1453,9.9401,91,0,170323,en,"Drama, Horror, Crime",Tom Six,Laurence R. Harvey,mala
485774,The Open House,2018-01-19,3.704,1434,1.0714,94,100000,0,en,"Horror, Thriller",Matt Angel,Dylan Minnette,mala
17692,Jaws 3-D,1983-07-22,4.482,1425,5.8638,98,20500000,87987056,en,"Thriller, Horror",Joe Alves,Dennis Quaid,mala
9708,The Wicker Man,2006-08-31,4.35,1421,5.8073,102,40000000,38805380,en,"Horror, Mystery, Thriller",Neil LaBute,Nicolas Cage,mala
11411,Superman IV: The Quest for Peace,1987-07-24,4.602,1421,4.2389,90,17000000,36700000,en,"Action, Adventure, Science Fiction",Sidney J. Furie,Christopher Reeve,mala
351819,Fifty Shades of Black,2016-01-28,4.887,1413,3.0405,92,20000000,21164799,en,"Romance, Comedy",Michael Tiddes,Marlon Wayans,mala
11442,Halloween: Resurrection,2002-07-01,4.609,1413,3.8224,89,13000000,37664958,en,Horror,Rick Rosenthal,Jamie Lee Curtis,mala
188207,The Legend of Hercules,2014-01-10,4.808,1408,2.9386,99,70000000,61279452,en,"Action, Adventure",Renny Harlin,Kellan Lutz,mala
40264,Vampires Suck,2010-08-18,4.393,1406,5.3456,82,20000000,80547866,en,"Comedy, Fantasy",Jason Friedberg,Jenn Proske,mala
218043,Left Behind,2014-10-03,4.294,1402,5.0396,110,16000000,19682924,en,"Thriller, Action, Science Fiction",Vic Armstrong,Nicolas Cage,mala
12536,Home Alone 4,2002-11-03,4.497,1382,4.1466,84,0,0,en,"Comedy, Family, TV Movie",Rod Daniel,Mike Weinberg,mala
9823,Mortal Kombat: Annihilation,1997-11-11,4.563,1355,5.5577,95,30000000,51376861,en,"Action, Fantasy, Science Fiction",John R. Leonetti,Robin Shou,mala
332,Inspector Gadget,1999-07-23,4.515,1330,4.4917,78,75000000,134403112,en,"Action, Adventure, Comedy, Family",David Kellogg,Matthew Broderick,mala
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989-07-28,4.932,1220,3.9132,100,5000000,14343976,en,"Horror, Thriller",Rob Hedden,Jensen Daggett,mala
580,Jaws: The Revenge,1987-07-17,4.095,1185,2.8202,89,23000000,51881012,en,"Adventure, Thriller, Horror",Joseph Sargent,Lorraine Gary,mala
643215,Asterix & Obelix: The Middle Kingdom,2023-02-01,4.819,1184,3.4667,111,72000000,46497678,fr,"Family, Comedy, Adventure, Fantasy",Guillaume Canet,Guillaume Canet,mala
71668,Piranha 3DD,2012-05-11,4.329,1157,5.1776,83,5000000,8493728,en,"Horror, Thriller, Comedy",John Gulager,Danielle Panabaker,mala
168098,Cell,2016-07-06,4.714,1145,2.4326,98,0,1133031,en,"Horror, Science Fiction, Thriller",Tod Williams,John Cusack,mala
13805,Disaster Movie,2008-08-29,3.202,1143,2.7384,87,25000000,34816824,en,"Comedy, Science Fiction",Aaron Seltzer,Matt Lanter,mala
10285,Jason Goes to Hell: The Final Friday,1993-08-13,4.581,1111,4.8448,88,3000000,15935068,en,"Horror, Thriller",Adam Marcus,Kane Hodder,mala
8285,The Spirit,2008-12-25,4.757,1070,2.8802,103,60000000,39164441,en,"Action, Fantasy, Crime, Thriller",Frank Miller,Gabriel Macht,mala
56288,Spy Kids: All the Time in the World,2011-08-18,4.694,1066,3.7047,89,27000000,85564310,en,"Family, Comedy, Action, Adventure",Robert Rodriguez,Jessica Alba,mala
472838,SPF-18,2017-09-29,4.429,1063,1.2437,75,0,0,en,"Romance, Drama",Alex Israel,Carson Meyer,mala
23706,All About Steve,2009-08-06,4.977,1062,2.3637,99,15000000,40105542,en,Comedy,Phil Traill,Bradley Cooper,mala
10073,Date Movie,2006-02-17,4.274,1058,3.1439,83,20000000,85749034,en,"Comedy, Romance",Aaron Seltzer,Alyson Hannigan,mala
536869,Cats,2019-12-19,4.092,1046,5.2094,110,95000000,77276321,en,"Fantasy, Comedy, Drama",Tom Hooper,Francesca Hayward,mala
755898,War of the Worlds,2025-07-29,4.096,1017,66.075,91,10000000,0,en,"Science Fiction, Thriller",Rich Lee,Ice Cube,mala
14620,The Butterfly Effect 2,2006-08-17,4.974,1008,2.4612,92,6000000,0,en,"Drama, Science Fiction, Thriller",John R. Leonetti,Eric Lively,mala
299245,The Gallows,2015-07-09,4.934,994,1.4649,81,100000,42964410,en,Horror,Travis Cluff,Reese Mishler,mala
55341,Jeepers Creepers 3,2017-09-26,4.92,987,4.4444,100,6200000,4017852,en,Horror,Victor Salva,Stan Shaw,mala
11546,Police Academy: Mission to Moscow,1994-06-09,4.586,984,2.1373,83,10000000,126247,en,"Comedy, Crime",Alan Metter,George Gaynes,mala
8010,Highlander II: The Quickening,1991-01-13,4.689,966,2.5173,100,34000000,15556340,en,"Fantasy, Action, Adventure",Russell Mulcahy,Christopher Lambert,mala
5491,Battlefield Earth,2000-05-12,3.343,941,2.2162,119,44000000,29725663,en,"Science Fiction, Action, Adventure",Roger Christian,John Travolta,mala
426563,Holmes & Watson,2018-12-25,4.312,932,2.3174,90,42000000,40500000,en,"Comedy, Mystery, Crime",Etan Cohen,Will Ferrell,mala
11531,Book of Shadows: Blair Witch 2,2000-10-27,4.355,931,2.3337,90,15000000,47737094,en,"Horror, Mystery",Joe Berlinger,Kim Director,mala
2312,In the Name of the King: A Dungeon Siege Tale,2007-11-29,4.781,932,4.2076,127,60000000,13097915,en,"Adventure, Fantasy",Uwe Boll,Jason Statham,mala
10152,Dumb and Dumberer: When Harry Met Lloyd,2003-04-14,4.142,909,2.451,85,19000000,39267515,en,Comedy,Troy Miller,Derek Richardson,mala
344268,The New Adventures of Aladdin,2015-10-14,4.7,892,1.249,101,17800000,35800000,fr,"Comedy, Fantasy, Adventure",Arthur Benzaquen,Kev Adams,mala
505423,Wounds,2019-01-26,4.027,862,1.4851,95,0,0,en,"Horror, Mystery",Babak Anvari,Armie Hammer,mala
94365,The Human Centipede 3 (Final Sequence),2015-05-22,3.8,860,5.407,103,0,16184,en,Horror,Tom Six,Dieter Laser,mala
76487,The Devil Inside,2012-01-06,4.689,848,2.2643,83,1000000,101800000,en,"Horror, Thriller",William Brent Bell,Fernanda Andrade,mala
3093,Basic Instinct 2,2006-03-29,4.97,841,4.601,116,70000000,38629478,en,"Crime, Mystery, Thriller",Michael Caton-Jones,Sharon Stone,mala
791,The Fog,2005-10-14,4.57,829,3.2571,100,18000000,46201432,en,"Horror, Mystery",Rupert Wainwright,Tom Welling,mala
889,The Flintstones in Viva Rock Vegas,2000-04-28,4.815,823,2.8787,91,83000000,59468275,en,"Comedy, Family, Romance",Brian Levant,Mark Addy,mala
8968,Boogeyman,2005-02-04,4.95,805,1.0901,89,20000000,67192859,en,"Thriller, Horror, Drama, Mystery",Stephen Kay,Barry Watson,mala
11586,Exorcist II: The Heretic,1977-06-17,4.551,797,2.6503,118,14000000,30749142,en,Horror,John Boorman,Richard Burton,mala
9320,The Avengers,1998-08-13,4.452,788,2.461,89,60000000,48600000,en,"Action, Adventure, Thriller, Science Fiction, Comedy",Jeremiah S. Chechik,Ralph Fiennes,mala
449664,Escape Room,2017-06-19,4.56,778,2.3162,90,0,1870824,en,"Horror, Thriller",Will Wernick,Evan Williams,mala
12177,The Love Guru,2008-06-20,4.075,776,2.3743,87,62000000,40854735,en,"Comedy, Romance",Marco Schnabel,Mike Myers,mala
254474,Zombeavers,2014-10-20,4.948,772,2.9219,77,0,14947,en,"Horror, Action, Comedy",Jordan Rubin,Rachel Melvin,mala
89899,The Players,2012-02-29,4.759,758,1.1122,109,0,441420,fr,Comedy,Jean Dujardin,Jean Dujardin,mala
16780,The Return of the Texas Chainsaw Massacre,1995-09-22,4.57,756,2.4844,95,600000,185898,en,"Horror, Comedy, Thriller",Kim Henkel,Renée Zellweger,mala
21435,French Fried Vacations 3: Friends Forever,2006-02-01,4.082,752,0.8521,95,35056049,83897719,fr,Comedy,Patrice Leconte,Josiane Balasko,mala
248705,The Visitors: Bastille Day,2016-03-23,4.2,726,1.6926,110,25868826,18552314,fr,"Comedy, Fantasy",Jean-Marie Poiré,Jean Reno,mala
56715,Just Visiting,2001-04-06,4.8,722,1.9175,88,35000000,16200000,en,"Comedy, Fantasy, Science Fiction",Jean-Marie Poiré,Jean Reno,mala
535437,Swiped,2018-11-06,4.448,710,1.2239,93,0,0,en,"Comedy, Drama, Romance",Ann Deborah Fishman,Kendall Ryan Sanders,mala
248504,Sharknado 2: The Second One,2014-07-31,4.5,708,1.8847,95,0,0,en,"Thriller, Science Fiction, TV Movie",Anthony C. Ferrante,Ian Ziering,mala
267806,V/H/S: Viral,2014-11-21,4.8,704,2.2878,81,0,2756,en,"Horror, Thriller",Justin Benson,Patrick Lawrie,mala
10304,Starship Troopers 2: Hero of the Federation,2004-05-19,4.462,705,3.7517,92,7000000,0,en,"Adventure, Horror, Action, Science Fiction",Phil Tippett,Colleen Porch,mala
225703,The Starving Games,2013-11-07,4.236,701,0.1008,83,4500000,0,en,Comedy,Jason Friedberg,Maiara Walsh,mala
654974,Home Sweet Home Alone,2021-11-11,4.854,700,5.9304,93,15000000,0,en,"Family, Comedy",Dan Mazer,Archie Yates,mala
651571,Breach,2020-12-17,4.166,698,1.929,93,0,39328,en,"Science Fiction, Action, Horror",John Suits,Cody Kearsley,mala
11849,Dungeons & Dragons,2000-12-08,4.378,694,2.482,107,35000000,15185241,en,"Drama, Adventure, Fantasy",Courtney Solomon,Justin Whalin,mala
12142,Alone in the Dark,2005-01-28,3.322,673,2.131,98,20000000,12693645,en,"Action, Fantasy, Horror",Uwe Boll,Christian Slater,mala
523638,Prisoners of the Ghostland,2021-08-31,5.0,669,1.8141,103,0,0,en,"Action, Fantasy, Thriller, Western",Sion Sono,Nicolas Cage,mala
485415,Day of the Dead: Bloodline,2017-12-29,4.683,668,1.9655,90,8000000,0,en,"Action, Horror",Hèctor Hernández Vicens,Sophie Skelton,mala
724989,Hard Kill,2020-09-04,4.954,666,1.6311,98,0,111523,en,"Action, Adventure, Thriller",Matt Eskandari,Bruce Willis,mala
590706,Jiu Jitsu,2020-11-20,4.776,658,2.0514,102,23000000,99924,en,"Action, Science Fiction, Fantasy",Dimitri Logothetis,Alain Moussi,mala
38277,Camping 2,2010-04-21,4.807,650,0.8324,99,28612179,0,fr,Comedy,Fabien Onteniente,Franck Dubosc,mala
57876,Area 51,2015-05-15,4.961,649,2.0166,91,5000000,7556,en,"Horror, Mystery, Science Fiction",Oren Peli,Frank Novak,mala
257345,The Darkness,2016-05-13,4.76,647,2.012,92,4000000,10904495,en,"Horror, Thriller",Greg McLean,Kevin Bacon,mala
375798,Brice 3,2016-10-19,4.217,638,0.8169,95,0,0,fr,Comedy,James Huth,Jean Dujardin,mala
87436,The ABCs of Death,2013-03-08,4.953,632,1.4623,129,0,23589,en,Horror,Hélène Cattet,Ingrid Bolsø Berdal,mala
13486,The Scorpion King 2: Rise of a Warrior,2008-07-19,4.759,631,2.3009,109,0,0,en,"Action, Adventure, Fantasy",Russell Mulcahy,Michael Copon,mala
168705,BloodRayne,2005-10-22,4.128,627,1.9245,94,25000000,3650275,en,"Fantasy, Horror, Action",Uwe Boll,Kristanna Loken,mala
407559,I Am the Pretty Thing That Lives in the House,2016-09-10,4.597,620,0.9714,89,0,0,en,"Horror, Mystery",Osgood Perkins,Ruth Wilson,mala
438689,Siberia,2018-07-13,4.749,619,3.7429,105,2000000,2006704,en,"Crime, Romance, Thriller",Matthew Ross,Keanu Reeves,mala
13461,Melissa P.,2005-11-18,4.683,610,4.6671,100,0,7450832,it,Drama,Luca Guadagnino,María Valverde,mala
551808,Black Christmas,2019-12-11,4.55,608,1.7372,92,5000000,18529730,en,"Horror, Mystery",Sophia Takal,Imogen Poots,mala
82657,Flight 7500,2014-05-16,4.921,610,2.9304,79,0,0,en,"Thriller, Horror, Mystery",Takashi Shimizu,Leslie Bibb,mala
10513,Plan 9 from Outer Space,1957-03-15,4.219,608,1.0591,78,60000,0,en,"Science Fiction, Horror",Edward D. Wood Jr.,Gregory Walcott,mala
146203,The Last Exorcism Part II,2013-02-28,4.682,603,2.0698,88,5000000,15200000,en,"Horror, Thriller",Ed Gass-Donnelly,Ashley Bell,mala
375804,Camping 3,2016-06-29,4.698,600,0.6239,105,0,0,fr,Comedy,Fabien Onteniente,Franck Dubosc,mala
11127,Starship Troopers 3: Marauder,2008-07-19,4.825,599,3.4082,105,20000000,0,en,"Adventure, Science Fiction, Action",Edward Neumeier,Casper Van Dien,mala
10067,The Shaggy Dog,2006-03-09,4.906,590,2.1085,98,50000000,87134280,en,"Comedy, Family",Brian Robbins,Tim Allen,mala
681887,Cosmic Sin,2021-03-12,3.983,586,1.832,88,20000000,349757,en,"Science Fiction, Action, Adventure",Edward Drake,Bruce Willis,mala
307663,Vice,2015-01-16,4.361,584,2.5762,96,10000000,0,en,"Thriller, Science Fiction, Action, Adventure",Brian A. Miller,Ambyr Childers,mala
331962,Exposed,2016-01-22,4.9,582,2.5136,102,0,269915,en,"Drama, Crime, Thriller, Mystery",Gee Malik Linton,Keanu Reeves,mala
79316,Devil's Due,2014-01-08,4.672,574,1.7487,89,7000000,36433975,en,Horror,Tyler Gillett,Zach Gilford,mala
9306,The Island of Dr. Moreau,1996-08-23,4.899,565,1.9723,96,40000000,49627779,en,"Science Fiction, Horror",John Frankenheimer,Marlon Brando,mala
42433,Natale in India,2003-12-19,4.9,559,0.6241,96,0,0,it,Comedy,Neri Parenti,Massimo Boldi,mala
10710,Envy,2004-04-30,4.885,555,1.5706,99,40000000,14494036,en,Comedy,Barry Levinson,Ben Stiller,mala
8011,Highlander III: The Sorcerer,1994-11-29,4.759,555,2.0263,99,30000000,36738574,en,"Fantasy, Action, Adventure",Andrew Morahan,Christopher Lambert,mala
35026,Lucky Luke,2009-10-21,4.465,541,1.5167,103,27000000,17854472,fr,"Comedy, Western, Adventure",James Huth,Jean Dujardin,mala
505225,The Last Thing He Wanted,2020-02-14,4.9,540,1.5593,116,0,0,en,"Drama, Thriller",Dee Rees,Anne Hathaway,mala
18955,Coco,2009-07-21,4.299,539,0.4851,95,0,0,fr,Comedy,Gad Elmaleh,Gad Elmaleh,mala
11692,The Adventures of Pluto Nash,2002-08-16,4.404,539,2.0658,95,100000000,7103973,en,"Action, Comedy, Science Fiction",Ron Underwood,Eddie Murphy,mala
244688,The Hungover Games,2014-02-01,4.049,537,1.3985,86,0,0,en,Comedy,Josh Stolberg,Ben Begley,mala
3177,Battle Royale II: Requiem,2003-07-05,4.972,536,2.0506,155,9080000,14902587,ja,"Action, Thriller",Kenta Fukasaku,Shugo Oshinari,mala
43935,Dylan Dog: Dead of Night,2011-03-16,4.757,533,1.1005,107,20000000,4634062,en,"Action, Comedy, Fantasy, Horror, Mystery, Science Fiction, Thriller",Kevin Munroe,Brandon Routh,mala
42435,Natale a New York,2006-12-15,5.0,534,0.7,111,0,26293647,it,Comedy,Neri Parenti,Christian De Sica,mala
331446,Sharknado 3: Oh Hell No!,2015-07-22,4.621,531,1.6311,88,0,0,en,"Action, Comedy, Horror, Science Fiction, TV Movie",Anthony C. Ferrante,Ian Ziering,mala
11058,Godsend,2004-04-30,4.869,531,1.4459,102,25000000,30120671,en,"Drama, Horror, Science Fiction, Thriller",Nick Hamm,Greg Kinnear,mala
323262,Holidays,2016-04-22,4.941,523,1.5089,104,0,55621,en,"Comedy, Horror, Fantasy, Mystery",Anthony Scott Burns,Madeleine Coghlan,mala
12212,Urban Legends: Final Cut,2000-09-22,4.921,523,1.6924,98,14000000,38574362,en,"Horror, Mystery",John Ottman,Jennifer Morrison,mala
12095,From Dusk Till Dawn 2: Texas Blood Money,1999-03-16,4.612,522,1.9662,88,5000000,6374,en,"Crime, Action, Horror, Thriller",Scott Spiegel,Robert Patrick,mala
74849,The Star Wars Holiday Special,1978-11-17,3.383,515,1.3195,97,1000000,0,en,"Adventure, Science Fiction, Family, TV Movie",Steve Binder,Peter Mayhew,mala
11535,Rollerball,2002-02-08,3.913,515,1.8384,98,70000000,25852764,en,"Action, Science Fiction, Thriller",John McTiernan,Chris Klein,mala
241254,The Prince,2014-08-22,4.926,511,2.9825,93,18000000,1289595,en,"Thriller, Action",Brian A. Miller,Bruce Willis,mala
765119,The Bubble,2022-03-25,4.603,510,2.8188,127,0,0,en,Comedy,Judd Apatow,Karen Gillan,mala
29426,Survival of the Dead,2010-05-06,4.849,511,2.2951,90,4000000,386078,en,"Horror, Comedy, Drama, Thriller",George A. Romero,Alan van Sprang,mala
332502,400 Days,2015-10-29,4.359,509,1.4294,91,0,0,en,"Mystery, Science Fiction, Thriller",Matt Osterman,Brandon Routh,mala
14144,Daddy Day Camp,2007-08-08,4.866,509,1.606,89,6000000,18197398,en,"Family, Comedy",Fred Savage,Cuba Gooding Jr.,mala
6116,Spice World,1997-12-18,4.908,507,2.3477,92,25000000,100000000,en,"Adventure, Fantasy, Drama, Comedy, Music",Bob Spiers,Mel B,mala
26264,George of the Jungle 2,2003-08-18,4.495,507,1.7004,87,12000000,0,en,"Adventure, Comedy, Family",David Grossman,Christopher Showerman,mala
277839,"Good Guys Go to Heaven, Bad Guys Go to Pattaya",2016-02-24,4.955,505,0.9491,100,5402000,0,fr,Comedy,Franck Gastambide,Franck Gastambide,mala
23988,Stan Helsing,2009-10-23,4.217,502,1.8651,90,365000,1400000,en,"Comedy, Horror",Bo Zenga,Steve Howey,mala
8046,Gigli,2003-08-01,4.025,496,1.631,122,75600000,7266209,en,"Comedy, Crime, Drama, Romance",Martin Brest,Ben Affleck,mala
340674,Dark Crimes,2016-10-12,4.629,495,1.9447,93,4480393,21216,en,"Drama, Thriller",Alexandros Avranas,Jim Carrey,mala
437739,The Mansion,2017-06-21,4.805,493,0.6373,100,0,0,fr,"Horror, Comedy",Tony T. Datis,Nathalie Odzierejko,mala
15268,Street Fighter: The Legend of Chun-Li,2009-02-27,4.285,494,2.1762,97,50000000,12764201,en,"Action, Adventure",Andrzej Bartkowiak,Kristin Kreuk,mala
17532,S. Darko,2009-04-28,4.3,492,2.1853,103,4000000,4100000,en,"Thriller, Crime, Science Fiction, Mystery",Chris Fisher,Daveigh Chase,mala
11867,Barb Wire,1996-05-02,4.142,492,3.7265,98,9000000,3793614,en,"Science Fiction, Action, Adventure",David Hogan,Pamela Anderson,mala
11802,Space Chimps,2008-06-25,4.958,491,2.3772,81,37000000,64762724,en,"Animation, Family, Adventure, Comedy, Science Fiction",Kirk DeMicco,Andy Samberg,mala
3602,I'll Always Know What You Did Last Summer,2006-06-24,4.203,490,2.1866,92,0,0,en,Horror,Sylvain White,Don Shanks,mala
3134,Baise-moi,2000-06-28,4.9,489,10.7684,77,0,940944,fr,"Crime, Drama, Thriller",Coralie Trinh Thi,Karen Lancaume,mala
13166,Freddy Got Fingered,2001-04-20,4.726,488,1.8927,87,14000000,14343028,en,Comedy,Tom Green,Tom Green,mala
298584,Cabin Fever,2016-02-12,4.746,480,2.5014,99,0,0,en,Horror,Travis Zariwny,Teresa Decher,mala
293452,The Disappointments Room,2016-09-09,4.53,479,1.3019,92,15000000,0,en,"Horror, Thriller",D.J. Caruso,Kate Beckinsale,mala
10726,American Psycho II: All American Girl,2002-06-18,4.474,477,2.1497,88,10000000,0,en,"Horror, Thriller",Morgan J. Freeman,Mila Kunis,mala
290825,Yoga Hosers,2016-07-08,4.646,475,2.1474,88,5000000,38784,en,"Comedy, Fantasy, Horror, Action",Kevin Smith,Lily-Rose Depp,mala
520901,Doom: Annihilation,2019-09-30,4.917,475,1.4474,97,0,0,en,"Action, Science Fiction, Horror",Tony Giglio,Amy Manson,mala
284674,Air,2015-08-14,4.979,475,1.4553,94,0,0,en,"Science Fiction, Thriller",Christian Cantamessa,Norman Reedus,mala
26914,Troll 2,1990-10-12,3.928,472,1.2063,95,65000,0,en,"Horror, Fantasy",Claudio Fragasso,Michael Stephenson,mala
419507,Escape From Reuma Park,2016-12-15,3.967,469,0.2645,86,0,0,it,Comedy,Giacomo Poretti,Aldo Baglio,mala
14125,Captivity,2007-03-01,4.879,463,2.1923,85,17000000,10921200,en,"Crime, Horror, Thriller",Roland Joffé,Elisha Cuthbert,mala
13995,Captain America,1990-12-14,4.497,461,1.6141,97,3000000,0,en,"Action, Adventure, Science Fiction, War",Albert Pyun,Matt Salinger,mala
12211,Highlander: Endgame,2000-09-01,4.811,461,1.7709,87,25000000,15843608,en,"Action, Adventure, Fantasy",Douglas Aarniokoski,Christopher Lambert,mala
79694,The Apparition,2012-08-23,4.458,461,1.4796,82,17000000,9627492,en,"Horror, Thriller",Todd Lincoln,Ashley Greene,mala
15206,The Mother of Tears,2007-10-31,4.5,458,0.6689,102,3500000,3119957,it,Horror,Dario Argento,Asia Argento,mala
10253,Dragon Wars: D-War,2007-08-01,4.582,458,2.7597,90,32000000,75108998,ko,"Fantasy, Drama, Horror, Action, Thriller, Science Fiction",Shim Hyung-rae,Jason Behr,mala
44918,Titanic II,2010-08-07,4.882,453,2.3708,90,500000,0,en,"Action, Thriller, Romance, Adventure, Drama",Shane van Dyke,Shane van Dyke,mala
10077,A Sound of Thunder,2005-05-15,4.875,449,2.0559,101,80000000,11700000,en,"Thriller, Science Fiction, Adventure, Action",Peter Hyams,Edward Burns,mala
238930,Brain Drain,2013-11-21,3.888,447,0.3697,100,0,6804918,it,Comedy,Paolo Ruffini,Paolo Ruffini,mala
70586,Setup,2011-10-17,4.85,443,1.7366,85,20000000,2128186,en,"Action, Crime, Drama, Thriller",Mike Gunther,50 Cent,mala
10384,Supernova,2000-01-14,4.964,439,1.762,91,90000000,14828081,en,"Science Fiction, Horror, Thriller",Walter Hill,James Spader,mala
412547,Killing Gunther,2017-09-22,4.767,438,1.2402,92,0,197616,en,"Action, Comedy",Taran Killam,Arnold Schwarzenegger,mala
13009,Zombie Strippers!,2008-04-18,4.857,433,4.408,94,0,0,en,"Comedy, Horror, Science Fiction",Jay Lee,Jenna Jameson,mala
119278,Smiley,2012-10-12,4.322,433,1.5107,95,0,0,en,Horror,Michael J. Gallagher,Caitlin Gerard,mala
27793,The NeverEnding Story III,1994-10-26,4.5,429,1.658,95,17000000,0,de,"Family, Fantasy, Adventure, Comedy",Peter MacDonald,Jason James Richter,mala
416160,The Vault,2017-09-01,4.9,427,1.8753,91,5000000,5728,en,"Horror, Thriller",Dan Bush,James Franco,mala
42436,Natale in crociera,2007-12-14,4.9,425,0.3703,103,0,0,it,Comedy,Neri Parenti,Christian De Sica,mala
11059,House of the Dead,2003-04-11,3.156,425,1.7296,90,12000000,13818181,en,"Horror, Action, Thriller",Uwe Boll,Jonathan Cherry,mala
9438,Mr. Magoo,1997-12-25,4.496,422,2.4189,87,30000000,75000000,en,"Comedy, Family",Stanley Tong Gwai-Lai,Leslie Nielsen,mala
28739,Cabin Fever 2: Spring Fever,2009-08-11,4.517,420,1.9482,87,5000000,0,en,Horror,Ti West,Rider Strong,mala
22345,Baby Geniuses,1999-03-12,4.118,418,2.9933,95,12000000,36450736,en,"Science Fiction, Comedy, Family",Bob Clark,Kathleen Turner,mala
68637,Ducoboo,2011-06-22,4.948,417,0.4635,96,0,0,fr,"Comedy, Family",Philippe de Chauveron,Élie Semoun,mala
400411,Satanic,2016-07-01,4.34,416,0.8179,84,0,349183,en,"Horror, Mystery, Thriller",Jeffrey G. Hunt,Sarah Hyland,mala
226936,Aspirante vedovo,2013-10-10,4.891,414,0.327,84,0,0,it,Comedy,Massimo Venier,Fabio De Luigi,mala
9544,FearDotCom,2002-08-09,3.793,411,1.1966,101,40000000,18902015,en,"Horror, Thriller, Crime",William Malone,Stephen Dorff,mala
